stick_pk,data_entry_pk
1,1
1,2
2,1
3,1
4,1
5,1
6,1
7,1
7,3
8,1
9,4
9,1
10,1
11,1
11,3
12,4
12,1
13,1
14,4
14,1
14,5
15,4
16,4
17,4
17,1
18,4
18,1
19,4
19,1
20,4
20,1
21,3
21,6
22,3
23,3
24,3
24,6
25,3
25,1
26,3
27,3
27,6
28,3
28,1
29,3
29,6
30,3
30,6
31,3
31,6
32,3
32,1
33,3
34,3
35,3
36,3
36,6
37,3
37,6
38,3
38,6
39,3
40,3
40,6
41,3
41,6
42,3
43,3
44,3
44,1
45,3
46,3
46,1
47,3
47,1
48,3
48,6
49,4
49,1
50,4
51,4
51,1
52,4
52,1
53,4
53,1
54,4
54,1
55,4
55,1
56,4
56,1
56,6
57,4
58,4
59,4
60,4
60,1
61,4
61,1
62,4
62,1
63,4
63,3
64,4
64,1
65,4
65,1
66,4
66,1
67,4
67,1
68,4
68,1
69,4
69,1
70,4
70,1
71,4
71,1
72,4
72,1
73,4
73,3
74,4
74,3
74,6
75,4
75,6
76,4
77,4
77,3
78,4
78,1
79,4
79,3
80,4
80,1
81,3
81,1
82,1
82,6
83,4
84,4
85,4
85,1
86,1
87,4
88,4
89,3
90,4
91,4
91,3
91,6
92,4
92,1
93,4
94,4
95,4
96,4
97,4
98,4
98,1
99,4
99,1
100,4
100,6
101,4
101,1
102,4
102,3
102,1
103,4
104,4
104,1
105,4
105,1
106,1
107,1
108,1
111,1
113,1
114,1
114,6
115,4
115,1
116,4
116,6
117,4
118,4
119,4
119,6
120,4
120,6
121,4
121,6
122,4
122,1
123,4
124,4
124,6
125,4
125,6
126,4
126,6
127,4
127,6
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
138,1
139,4
139,1
140,4
141,4
141,6
142,4
142,6
143,4
143,6
144,4
144,1
145,4
146,4
146,6
147,3
147,6
148,4
148,6
149,4
149,6
150,4
150,1
151,4
151,1
152,4
153,4
154,4
154,1
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
172,6
173,1
173,6
174,4
174,6
175,4
175,1
175,6
176,4
176,1
176,6
177,4
178,4
178,1
178,6
179,4
179,1
179,6
180,4
180,1
181,4
181,1
181,6
182,4
182,1
182,6
183,4
183,1
184,4
184,6
185,4
185,6
186,4
186,1
186,6
187,4
187,6
188,4
188,1
188,6
189,4
189,6
190,4
190,6
191,4
191,6
192,4
192,6
193,4
193,6
194,4
194,6
195,4
195,6
196,4
196,6
197,4
197,6
198,4
199,4
199,1
199,6
200,4
200,6
201,4
201,6
202,4
202,6
203,4
203,1
203,6
204,4
204,6
205,4
205,6
206,4
206,6
207,4
207,6
208,4
209,4
210,4
210,6
211,4
211,6
212,4
212,6
213,4
213,6
214,4
214,1
214,6
215,4
215,1
215,6
216,4
216,6
217,4
217,1
217,6
218,4
218,6
219,4
219,1
219,6
220,4
220,6
221,4
221,1
221,6
222,4
222,1
222,6
223,4
223,6
224,4
225,4
225,1
225,6
226,4
226,6
227,4
227,6
228,4
228,6
229,4
229,6
230,4
230,6
231,4
231,6
232,4
232,3
232,1
232,6
233,4
233,6
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,4
250,1
251,4
251,1
251,6
252,4
252,1
253,4
254,4
254,1
255,4
256,4
256,1
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,4
267,6
268,4
268,6
269,4
269,6
270,4
270,6
271,4
272,4
272,6
273,4
273,6
274,4
274,6
275,4
276,4
276,1
276,6
277,4
278,4
278,6
279,4
279,6
280,4
280,6
281,4
281,6
282,4
282,6
283,4
283,1
283,6
284,4
284,6
285,4
285,6
286,4
286,6
287,4
287,6
288,4
288,6
289,4
290,4
291,4
291,6
292,4
292,6
293,4
293,6
294,4
294,6
295,4
295,6
296,4
296,6
297,4
297,6
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
305,6
306,4
307,4
308,4
309,4
309,1
309,2
310,4
310,6
311,4
311,2
312,4
312,2
313,4
313,6
314,4
314,6
315,4
315,6
316,4
316,6
317,4
317,1
317,2
318,4
318,6
319,4
319,1
319,6
320,4
320,6
321,4
321,6
322,4
322,6
323,4
323,1
323,2
324,4
324,2
325,4
325,6
326,4
326,6
327,4
327,6
328,4
328,1
328,2
328,6
329,4
329,6
330,4
330,1
330,2
331,4
331,1
331,2
332,4
332,1
332,2
333,4
333,1
333,2
334,4
334,1
334,2
335,4
335,1
336,4
336,1
336,2
337,4
337,6
337,1
338,4
338,1
339,4
339,6
340,4
340,1
340,2
341,4
341,6
342,4
342,6
343,4
343,6
344,4
344,6
345,4
345,6
346,4
346,1
346,6
347,4
347,6
348,4
348,6
349,4
349,1
349,6
350,4
350,6
351,4
351,6
352,4
352,6
353,4
353,1
353,6
354,4
354,6
355,4
355,6
356,4
356,6
357,4
357,6
358,4
358,6
359,4
359,6
360,4
360,6
361,4
361,6
362,4
362,6
363,4
363,6
364,4
364,6
365,4
365,6
366,4
366,6
367,4
367,6
368,4
368,6
369,4
369,6
370,4
370,6
371,4
371,6
372,4
372,6
373,4
373,6
374,4
374,6
375,4
375,6
376,4
376,6
377,4
377,6
378,4
378,6
379,4
379,6
380,4
380,6
381,4
381,6
382,4
382,6
383,4
383,6
384,4
384,6
385,4
385,6
386,4
386,6
387,4
387,6
388,4
388,6
389,4
389,6
390,4
390,6
391,4
391,6
392,4
392,6
392,1
393,4
393,6
393,1
394,4
394,6
395,4
395,6
396,2
396,6
397,4
397,6
398,4
398,6
399,4
399,6
400,4
400,6
401,4
401,1
401,2
402,4
402,1
402,2
402,6
403,4
403,1
403,2
403,6
404,4
404,1
404,2
404,6
405,4
405,6
406,4
406,6
407,4
407,6
408,4
408,1
408,2
409,4
409,1
409,2
410,4
410,1
410,2
411,4
411,1
411,2
412,4
412,1
412,2
413,4
413,6
414,4
414,6
415,4
415,6
416,4
416,6
417,4
417,1
417,2
418,4
418,6
419,4
419,6
420,4
420,6
421,4
421,6
422,4
422,6
423,4
423,1
423,2
424,4
424,1
424,2
425,4
425,6
426,4
426,6
427,4
427,6
428,4
428,6
429,4
429,6
430,4
430,6
431,4
431,6
432,4
432,2
432,6
433,4
433,6
434,4
434,6
435,4
435,6
436,4
436,6
437,4
437,6
438,4
438,6
439,4
439,6
440,4
440,6
441,4
441,6
442,4
442,6
443,4
443,6
444,4
444,6
445,4
445,6
446,4
446,6
447,4
447,6
448,4
448,6
449,4
449,6
450,4
450,6
451,4
451,6
452,4
452,6
453,4
453,6
454,4
454,6
455,4
455,6
456,4
456,6
457,4
457,6
458,4
458,6
459,4
459,2
460,4
460,1
460,2
461,4
461,1
461,2
462,4
462,1
462,2
463,4
463,1
463,2
464,4
464,1
464,2
465,4
465,1
465,2
466,4
466,1
466,2
467,4
467,6
468,4
468,6
469,4
469,6
470,4
470,6
471,4
471,6
472,4
472,6
473,4
473,6
473,1
474,4
474,6
474,1
475,4
475,6
475,1
476,4
476,1
476,2
477,4
477,6
478,4
478,6
479,4
479,6
480,4
480,6
481,4
481,1
481,2
482,4
482,1
482,2
483,4
483,1
483,2
483,6
484,4
484,1
484,2
485,4
485,1
485,2
485,6
486,4
486,6
487,4
487,1
487,2
487,6
488,4
488,2
488,6
489,4
489,2
489,6
490,4
490,1
490,2
490,6
491,4
491,1
491,2
491,6
492,4
492,1
492,2
492,6
493,4
493,2
493,6
494,4
494,1
494,2
494,6
495,4
495,2
495,6
496,4
496,1
496,2
496,6
497,4
497,1
497,2
497,6
498,4
498,1
498,2
498,6
499,4
499,1
499,2
500,4
500,1
500,2
501,4
501,6
502,4
502,6
503,4
503,1
503,2
504,4
504,6
505,4
505,6
506,4
506,6
507,4
507,1
507,2
508,4
508,1
508,2
509,4
509,1
509,2
510,4
510,1
510,2
511,4
511,1
511,2
512,4
512,1
512,2
513,4
513,1
513,2
513,6
514,4
514,6
515,4
515,6
516,4
516,6
517,4
517,6
518,4
518,6
519,4
519,6
520,4
520,1
520,2
520,6
521,4
521,6
522,4
522,1
522,2
523,4
523,1
523,2
524,4
524,1
524,2
524,6
525,4
525,2
526,4
526,1
526,2
527,4
527,1
527,2
528,4
528,1
528,2
529,4
529,1
529,2
530,4
530,1
530,2
531,4
531,2
531,6
532,4
532,2
532,6
533,4
533,1
533,2
534,4
534,2
535,4
535,1
535,2
536,4
536,1
536,2
537,4
537,6
538,4
538,1
538,2
539,4
539,1
539,2
540,4
540,6
541,4
541,6
542,4
542,6
543,4
543,6
544,4
544,6
545,4
545,6
546,4
547,4
547,6
548,4
548,1
548,2
549,4
549,1
549,2
550,4
550,2
551,4
551,2
552,4
552,2
553,4
553,1
553,2
553,6
554,4
554,6
555,4
555,6
556,4
556,6
557,4
557,6
558,4
558,1
558,2
559,4
559,6
560,4
560,1
560,2
561,4
561,1
561,2
562,4
563,4
563,2
564,4
564,6
565,4
565,1
565,2
565,6
566,4
566,1
566,2
567,4
567,1
567,2
568,4
568,1
568,2
569,4
569,6
570,4
570,6
571,4
571,6
572,4
572,6
573,4
573,1
573,2
574,4
575,4
576,4
577,4
577,6
578,4
578,1
578,6
579,4
579,1
580,4
580,2
580,1
580,6
581,4
581,6
582,4
582,6
583,4
584,4
585,4
586,4
587,4
588,4
589,4
590,4
591,3
591,1
592,3
592,1
592,6
593,4
594,4
594,1
594,6
595,1
596,1
597,1
598,1
599,1
600,1
600,6
601,1
602,1
603,4
603,1
603,6
604,1
604,6
605,1
605,6
606,1
606,6
607,1
607,6
608,1
608,6
609,1
609,3
610,1
611,1
612,1
612,6
613,1
613,6
614,1
614,6
615,1
616,1
616,6
617,1
618,1
618,6
619,1
619,4
619,3
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
633,6
634,3
634,6
635,3
635,6
636,3
637,3
638,3
638,6
639,3
640,3
640,6
641,3
641,6
642,3
642,6
643,3
644,3
645,3
645,6
646,3
646,6
647,3
647,6
648,3
648,6
649,3
649,6
650,3
650,6
651,3
651,6
652,3
653,3
653,6
654,3
654,6
655,3
655,6
656,3
656,6
657,3
657,6
658,3
658,6
659,3
659,6
660,3
660,6
661,3
661,6
662,3
662,1
662,6
663,3
663,6
664,3
664,6
665,3
665,6
666,3
666,6
667,3
667,6
668,3
668,6
669,3
669,6
670,3
670,6
671,3
671,6
672,3
672,6
673,3
674,3
675,3
676,3
677,3
677,6
678,3
678,6
679,3
679,6
680,3
680,6
681,3
681,6
682,3
682,6
683,3
683,6
684,3
684,6
685,3
685,6
686,3
687,3
687,6
688,3
688,6
689,3
689,6
690,3
690,6
691,3
691,6
692,3
692,6
693,3
693,6
694,3
694,6
695,3
695,6
696,3
696,6
697,3
698,3
699,3
700,3
701,3
701,1
701,6
702,3
702,6
703,3
703,1
703,6
704,3
704,1
705,3
705,1
705,6
706,3
706,1
707,3
707,1
707,6
708,3
708,1
708,6
709,3
709,6
710,3
710,6
711,3
711,6
712,3
712,6
713,3
713,6
714,3
714,6
715,3
715,6
716,3
716,6
717,3
717,6
718,3
718,6
719,3
720,3
721,3
722,3
723,3
723,1
724,3
724,1
725,3
725,1
726,3
726,1
727,3
727,1
728,3
728,1
729,3
730,3
730,1
730,6
731,3
731,1
731,6
732,3
733,3
733,1
733,6
734,3
734,1
734,6
735,3
735,6
736,3
736,6
737,3
737,1
738,3
738,6
739,3
739,6
740,3
741,3
742,3
743,3
744,3
745,3
745,1
745,6
746,3
746,1
746,6
747,3
747,1
747,6
748,3
748,6
749,3
749,1
749,6
750,3
750,6
751,3
751,6
752,3
752,6
753,3
754,3
754,1
754,6
755,3
755,1
755,6
756,3
756,1
756,6
757,3
757,6
758,3
758,1
758,6
759,3
760,3
760,6
761,3
761,6
762,3
762,1
762,6
763,3
763,1
763,6
764,3
764,1
764,6
765,3
765,4
765,1
765,6
766,3
766,6
767,3
767,6
768,3
768,6
769,3
769,1
770,3
770,1
771,3
771,1
772,3
772,1
773,3
773,1
774,3
775,3
775,1
776,3
776,1
777,3
777,1
778,3
778,1
779,3
779,1
780,3
780,1
781,3
781,1
782,3
782,1
783,3
783,1
783,6
784,4
784,3
784,1
784,6
785,3
785,1
786,3
787,3
788,3
788,1
789,3
789,1
790,3
790,1
791,3
791,1
791,6
792,3
792,1
792,6
793,3
793,6
794,3
794,6
795,3
795,6
796,3
796,1
797,3
797,1
798,3
798,6
799,3
799,6
800,3
801,3
802,3
803,3
804,3
805,3
806,3
807,3
807,1
807,6
808,3
808,1
808,6
809,3
809,1
810,3
810,6
811,3
811,6
812,3
812,6
813,3
813,6
814,3
814,1
814,6
815,3
815,1
815,6
816,3
816,1
816,6
817,3
817,1
817,6
818,3
818,1
818,6
818,4
819,3
819,6
820,3
820,1
820,6
821,4
821,3
821,1
821,6
822,4
822,3
822,1
822,6
823,4
823,3
823,6
824,3
824,1
824,6
825,3
