pk,chirila_name,austlang_code,austlang_name,glottolog_code
1,Waka Waka,E28,Wakka Wakka,waka1274
2,Woiwurrung,S36,Woiwurrung,woiw1237
3,Wanyiwalku,D21,Wanyiwalku,bagu1250
4,Mayi-Kulan,G25,Mayi-Kulan,mayk1239
5,Mayi-Yapi,G20,Mayi-Yapi,mayi1235
6,Gugu Mini,Y94,Kuku Mini,gugu1257
7,Wotjobaluk,S88,Wotjobaluk,wotj1234
8,Narangga,L1,Narungga,naru1238
9,Mandandanji,D44,Mandandanji,mand1417
10,Yugambeh,E17,Yugambeh,
11,Yagalingu,E43,Yagalingu,wadj1255
12,Wadjalang,D45,Wadjalang,
13,Turubul,E86,Turrbal,yaga1262
14,Gamilaraay,D23,Gamilaraay / Gamilaroi / Kamilaroi,gami1243
15,Muruwari,D32,MURUWARI / MURRAWARRI,muru1266
16,Yuwaalaraay,D27,Yuwaalaraay,yuwa1242
17,Yambina,E51,Yambina,
18,Biri,E56,Biri^,biri1256
19,Gudjal,E60,Gudjal,gudj1237
20,Minkin,G26,Mingginda,mink1237
21,Yukulta,G34,Yukulta / Ganggalidda,gang1267
22,Linngithigh,Y26,Linngithigh,leni1238
23,Alngith,Y32,Alngith,alng1239
24,Kuku Nyungkul,Y90,Kuku Nyungkul,kuku1274
25,Djabugay,Y106,Djabugay / Tjapukai^,dyaa1242
26,Larrakia,N21,Larrakia,lara1258
27,Jingulu,C22,Jingulu,djin1251
28,Yugul,N85,Yugul,yugu1250
29,Binbinka,N138,Binbinka,binb1242
30,Mangarrayi,N78,Mangarrayi,mang1381
31,Ngayawangka,A30,Ngadawanga,
32,Djirbal,Y123,DYIRBAL / JIRRBAL,dyir1250
33,Galaagu,A2,Kalarku,kala1379
34,Mirniny,A9,Mirning,
35,Giraiwurung,S25,Keerray Woorroong / Kirrae Whurrong,warr1257
36,Wathawurrung,S29,Wathawurrung / Wadawurrung / Wathaurong,wath1238
37,Warrgamay,Y134,Warrgamay^,warr1255
38,Gabalbara,E45,Gabulbarra,
39,Guwinmal,E49,Guwinmal,
40,Pitta-Pitta,G6,Pitta Pitta,pitt1247
41,Karanya,L32,Karanya,
42,Mayawali,L40,Maiawali,
43,Kalkatungu,G13,Kalkatungu / Kalkadoon,kalk1246
44,Danggali,D14,Thangkaali,
45,Gunditjmara,S20,Dhauwurd Wurrung^,gund1249
46,Lardil,G38,Lardil,lard1243
47,Gunggari,D37,Gunggari,kung1258
48,Luritja,C7.1,Luritja,pint1250
49,Tiwi,N20,Tiwi,tiwi1244
50,Ngarinyin,K18,Ngarinyin,ngar1284
51,Worrorra,K17,Worrorra,worr1237
52,Unggumi,K14,Unggumi,ungg1243
53,Yiiji,K32,Yiiji,wuna1249
54,Bunuba,K5,Bunuba,buna1275
55,Kija,K20,Gija / Kija,kitj1240
56,Ngiyambaa,D22,NGIYAMPAA / NGEMPA,wang1291
57,Wiradjuri,D10,Wiradjuri,wira1262
58,Dhangu,N192,Dhangu,dhan1270
59,Mengerr,N53,Mengerrdji,mang1382
60,Kamu,N33,Kamu,kamu1258
61,Warndarang,N120,Warndarrang,wand1263
62,Watjarri,A39,Wajarri / Wadjarri,waja1257
63,Dhuwal,N141,Gumatj,guma1253
64,Jawoyn,N57,Jawoyn,djau1244
65,Alyawarr,C14,Alyawarr,alya1239
66,Yirandali,L42,Yirandali,yira1239
67,Yan-nhangu,N72,Yan-nhangu,yann1237
68,Ngarinyman,C27,NGARINYMAN,ngar1235
69,Wurrugu,N37,Wurrugu,wurr1238
70,Western Arrarnte,C47,Western Arrarnta,west2441
71,Jiwarliny,A88,Juwaliny,djuw1238
72,Ngarluma,W38,Ngarluma,ngar1287
73,Warriyangga,W22,Warriyangga,wari1262
74,Wirangu,C1,Wirangu,wira1265
75,Dagoman,N38,Dagoman,dago1245
76,Gagudju,N50,Gaagudju,gaga1251
77,Anindilyakwa,N151,Anindilyakwa,anin1240
78,Flinders Island,Y147,Walmbarddha,
79,Mutumui,Y63.1,Barrow Point,gugu1255
80,Umbindhamu,Y138,Ganganda,umbi1243
81,Lamalama,Y55,Morrobolam,lamu1254
82,Flinders Island,Y67,Flinders Island language,flin1247
83,Djinang,N94.1,Djinang,djin1253
84,Ganalbingu,N83,Ganhalpuyngu,gana1269
85,Yankunytjatjara,C4,Yankunytjatjara,yank1247
86,Maung,N64,Mawng,maun1240
87,Konbudj,N224,Gonbudj,
88,Ganggalinda,G37,Yangkaal,nyan1300
89,Kukatja,A68,Kukatja,kuka1246
90,Pitjantjatjara,C6,Pitjantjatjara,pitj1243
91,Wik Ngatharr,Y56,Wik Ngathanya,wikn1245
92,Adnyamathanha,L55,Wailpi,adny1235
93,Parnkala,L6,Barngarla,bang1339
94,Yolngu,N230,YOLNGU MATHA,yuul1239
95,Nyungar,W41,NOONGAR / NYOONGAR,nyun1247
96,Gunwinggu,N173,Kuninjku,mura1269
97,Tjupany,A31,Tjupan,
98,Yuru,E62,Yuru,yuru1264
99,Guugu-Yimidhirr,Y82,GUUGU YIMIDHIRR,gugu1255
100,Wangkathaa,A12,Wangkatha,
101,Yolngu,N117.1,Murngin,yuul1239
102,Yingkarta,W19,Yingkarta,ying1247
103,Miwa,K44,Miwa,miwa1242
104,Wakaya,C16,Wakaya,waga1260
105,Karuwali,L35,Karuwali,karr1236
106,Ngandi,N90,Ngandi,ngan1295
107,Gureng Gureng,E32,GOORENG GOORENG,gure1255
108,Warluwarra,G10,Warluwarra^,warl1256
109,Arakwal,E13,Arakwal,arak1254
110,Nyamal,A58,Nyamal,nyam1271
111,Wubuy,N128,Wubuy / Nunggubuyu,nung1290
112,Wik Mungkan,Y57,Wik Mungkan,wikm1247
113,Yangman,N68,Yangman,yang1288
114,Djapu,N145,Djapu,djap1238
115,Gunwinggu,N70,Kune,gune1238
116,Wunambal,K22,Wunambal,wuna1249
117,Nulit,S91,Nulit,
118,Kurnai,S68,GUNAI / KURNAI,gana1278
119,Muk-Thang,S45,Brabalung,
120,Thangguai,S48,Krauatungalang,
121,Bidhawal,S49,Bidawal,gana1268
122,Malak Malak,N22,Malak Malak,mull1237
123,Yanyuwa,N153,Yanyuwa,yany1243
124,Ngaanyatjarra,A38,Ngaanyatjarra,ngaa1240
125,Warrwa,K10,Warrwa,warr1258
126,Karajarri,A64,Karajarri,kara1476
127,Burarra,N82,Burarra,bura1267
128,Gunibidji,N74,Ndjebbana,djee1236
129,Gunwinggu,N65,Kunwinjku,guma1252
130,Iwaidja,N39,Iwaidja,iwai1244
131,Duungidjawu,E20,Duungidjawu,duun1241
132,Ngangikurunggurr,N157,NGAN'GI,nang1259
133,no code,N161,Marri Tjevin,mari1421
134,Ngunawal,D3,Ngunawal / Ngunnawal,ngun1277
135,Eora,S61,Eora,
136,Muruwari,D32,MURUWARI,muru1266
137,Guwar,E26,Guwar,guwa1244
138,Yuat,W11,Yuat,
139,Mara,N112,Marra,mara1385
140,Alawa,N92,Alawa,alaw1244
141,Bachamal,N31,Batjamalh,
142,Warrnambool,S20,Dhauwurd Wurrung^,gund1249
143,Djabwurung,S26,Djab Wurrung^,djab1234
144,Wangkumara,L25,Wangkumara,wong1246
145,Yuin,S67,Yuin,yuin1242
146,Diyari,L17,Dieri,dier1241
